,predicted_mean
1991-01-01,13.096222250214286
1991-01-02,13.501245358062617
1991-01-03,13.676910966549563
1991-01-04,13.718768143809001
1991-01-05,13.719083151702115
1991-01-06,13.712704873366198
1991-01-07,13.708698803199317
1991-01-08,13.707275596820562
1991-01-09,13.707047843189116
1991-01-10,13.707133665690984
1991-01-11,13.70722118706275
1991-01-12,13.707260646330845
1991-01-13,13.707270777130303
1991-01-14,13.707270708705803
1991-01-15,13.707269076083765
1991-01-16,13.707268099239466
1991-01-17,13.707267764746087
1991-01-18,13.707267715817526
1991-01-19,13.707267738750067
1991-01-20,13.707267760305916
1991-01-21,13.707267769743728
1991-01-22,13.707267772067487
1991-01-23,13.707267771990988
1991-01-24,13.707267771579783
1991-01-25,13.707267771343057
1991-01-26,13.707267771264437
1991-01-27,13.707267771254056
1991-01-28,13.707267771260124
1991-01-29,13.707267771265425
1991-01-30,13.707267771267679
